id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category
52,"關於下列甲狀腺腫瘤(thyroid neoplasms)與基因突變(genetic mutations)的配對,何者最為正確？",(A) Papillary carcinoma - RET/NTRK rearrangement or BRAF V600E mutation,(B) Medullary carcinoma - PAX8-PPARY fusion gene,(C) Follicular carcinoma - RET mutation,(D) Anaplastic carcinoma commonly shows PSA positivity,A,Papillary甲狀腺癌經典的基因變異包含RET或NTRK的易位融合，以及BRAF點突變(BRAF V600E)。Medullary應配RET mutation；Follicular配PAX8-PPARY fusion。,甲狀腺病理學 許又中
53,"一位60歲男性有高血鈣(hypercalcemia)與低血磷(hypophosphatemia),X光顯示骨質疏鬆。副甲狀腺切片顯示單一病灶,由均一的主細胞(chief cells)組成;無明顯脂肪。最可能診斷為？",(A)副甲狀腺增生(Parathyroid hyperplasia),(B)副甲狀腺癌(Parathyroid carcinoma),(C)副甲狀腺腺瘤(Parathyroid adenoma),(D)髓樣癌(Medullary thyroid carcinoma),C,高血鈣低血磷(副甲狀腺亢進)伴隨單一、邊界清晰的 soft tan nodule，組織學由均一主細胞組成且內部缺乏脂肪，符合副甲狀腺腺瘤特徵。,副甲狀腺病理學 許又中
54,"關於副甲狀腺腺瘤(Parathyroid adenoma)的敘述,下列何者最為正確？","(A)常見多發性病灶,侵犯四個腺體",(B)組織學常見囊膜侵犯(capsular invasion),"(C)通常由主細胞(chief cells) 構成,病灶邊緣可見壓迫正常組織",(D)病灶中脂肪含量明顯高於正常副甲狀腺組織,C,副甲狀腺腺瘤典型以「單一腺體」病變為主，病灶邊緣可見一層被壓迫的正常非新生物副甲狀腺組織(A rim of compressed non-neoplastic tissue)，且內部脂質比正常組織少。,副甲狀腺病理學 許又中
55,對於甲狀腺亢進的描述何者為非？,(A)好發於女性,(B)葛雷夫氏症最常見,(C)好發年齡在超過60歲者,(D)可使用藥物或碘131治療,C,甲狀腺亢進(如Graves' disease)的典型好發發病年齡通常分布在 20 到 40 歲之間，並非以大於60歲為主群。,甲狀腺高能症及低能症 盧介祥
56,對於甲狀腺低下的描述何者為非？,(A)好發於女性年齡在超過60歲者,(B)可能是先天性或與自體免疫疾病有關,(C)可發生於開刀、藥物或碘131治療後,(D)不用治療,D,甲狀腺功能低下必須接受長期的甲狀腺激素替代療法（例如口服 levothyroxine）並常規監測功能，絕非不用治療。,甲狀腺高能症及低能症 盧介祥
57,對於亞臨床症狀甲狀腺低下的描述何者為非？,(A)最常見的原因是橋本氏疾病(Hashimoto's disease).,(B)常見好發於女性.,(C)實驗室檢查可見到TSH和FT4 高.,(D)可能與甲狀腺功能早期衰退有關.,C,亞臨床甲狀腺功能低下(Subclinical hypothyroidism)在實驗室檢查的定義是：血清 TSH 偏高，但是週邊 Free T4 與 T3 濃度完全處在「正常範圍」內。,甲狀腺高能症及低能症 盧介祥
58,下列何種甲狀腺癌最常見？,(A)乳突細胞癌,(B)濾泡細胞癌,(C)髓質細胞癌,(D)未分化細胞癌,A,乳突細胞癌(Papillary cancer)是目前最常見的甲狀腺惡性腫瘤，大約佔了所有病例的 80% 到 85%。,甲狀腺腫及甲狀腺癌 盧介祥
59,對於甲狀癌的描述何者為非？,(A)診斷可藉由觸診、超音波、核醫造影、細針穿刺,(B)甲狀腺超波可以提供快速正確的檢查,(C)甲狀腺核醫造影的熱點(hot nodule)會比冷點(cold nodule)癌症機會高,(D)甲狀腺癌的預後通常以乳突癌的預後最好,C,核醫甲狀腺掃描中的「熱點」(Hot nodule)在臨床上「幾乎從不(almost never)」代表顯著的惡性惡化；相反地，冷點(Cold nodule)伴隨有5%至15%的惡性風險。,甲狀腺腫及甲狀腺癌 盧介祥
60,甲狀腺癌的治療方式包括哪些？,(A)手術切除,(B)碘131,(C)化療或生物製劑(如 TKI 標靶藥物),(D)以上皆是,D,甲狀腺癌的綜合內外科處置手段包含了外科切除術、放射性碘131治療、甲狀腺素抑制治療，以及針對晚期無法切除的酪胺酸激酶抑制劑(TKI)等標靶化療。,甲狀腺腫及甲狀腺癌 盧介祥
61,糖尿病酮酸血症(DKA)重症病患，出現T4與T3皆低下但TSH正常的表現，下列判讀何者正確？,(A)只要病患服用過 amiodarone，便應直接完全歸因於該藥物影響,(B)應建議立刻常規開立甲狀腺素給予補充治療,(C)重症引發大量細胞激素釋放進而抑制5'-去碘酵素(5'-deiodinase)為其重要核心機轉,(D)此種病態表現與疾病預後完全無關,C,重症病患出現「T3/T4低、TSH正常偏低」符合病態甲狀腺正能症(NTIS/Sick Euthyroid Syndrome)特徵。其主要成因是發炎細胞激素釋放，導致週邊5'-deiodinase活性受損以及荷爾蒙與結合蛋白親和力下降。臨床不主張給予甲狀腺素治療，應以監測與治療原發重症為主。,甲狀腺炎及病態甲狀腺正能症 洪薇雯
62,在病態甲狀腺正能症(NTIS)的臨床表現中，下列哪項指標最常被指出可用於評估重症病患的「不良預後(poor prognosis)」？,(A) TSH 濃度的短暫輕微波動,(B) 治療監測期間內測得的總 T4 濃度出現顯著劇烈滑落,(C) 僅有單純輕微的低 T3 表現,(D) 血沉降率(ESR)的單純波動,B,在NTIS中，低T3通常反映疾病嚴重度；而當病情嚴重到總T4水平也發生急劇大跌落(low T4 syndrome)時，在臨床上與病患的不良預後(poor prognosis)有著強烈關聯。,甲狀腺炎及病態甲狀腺正能症 洪薇雯
63,關於病態甲狀腺正能症(NTIS)的機轉描述，下列何者正確？,(A)體內甲狀腺荷爾蒙與結合蛋白(binding protein)的親和力下降(Decrease affinity)為核心原因之一,(B) T3 濃度愈低代表重症疾病的臨床嚴重度愈低,(C) 所有臨床重症表現皆是因為 amiodarone 代謝物之輕微拮抗作用引起的,(D) 以上敘述皆正確,A,NTIS的核心兩大機轉為：1. 甲狀腺荷爾蒙與結合蛋白間的親和力下降；2. 5'-deiodinase功能受損。T3越低代表病況越嚴重。,甲狀腺炎及病態甲狀腺正能症 洪薇雯
64,"下列何者最能正確說明線性能量轉移(Linear Energy Transfer, LET)在放射治療中的作用？",(A)高LET 的輻射通常造成較少的生物傷害,"(B)高LET 的輻射會產生更強烈密集性的電離作用,導致較嚴重的細胞與 DNA 損傷",(C)低LET 的輻射比高LET的輻射更易造成嚴重的DNA雙股斷裂,(D)放射線所引起的整體生物效應與其LET 值完全無關,B,速度慢且電荷數高的射線其LET高。高LET輻射會在組織路徑中引起極高密度的離子化作用，產生的生物效應也強烈，更容易造成細胞DNA重度損傷。,內分泌疾病的放射治療 湯人仰
65,關於垂體腫瘤放射治療後達到生化緩解(Biochemical remission)時間的典型對比，下列何者正確？,(A)傳統外照射放射治療(EBRT)通常比立體定位放射手術(SRS)更快達到生化緩解,"(B)單次劑量 SRS 通常在16-26個月內達到生化緩解,而EBRT則常需大約63個月","(C)無論是 EBRT或SRS,兩者在一年內皆能可靠且普遍地使病患達到完全生化緩解",(D) EBRT 與 SRS 兩者在臨床上的生化緩解時間無任何統計學顯著差異,B,臨床數據顯示，立體定位放射手術(SRS)達到生化緩解的時間顯著快於傳統EBRT(SRS約16-26個月；EBRT常需長達63個月)。,內分泌疾病的放射治療 湯人仰
66,"根據 NCCN 指南,下列哪一種臨床場景最明顯需要對甲狀腺癌進行外照射放射治療(EBRT)？",(A)手術後顯示良好碘131(131I)攝取能力的乳突狀癌,(B)僅有輕微腺體外侵犯的T2腫瘤,(C)低風險且完全無任何淋巴結侵犯的早期甲狀腺癌,(D)具有肉眼可見明顯甲狀腺外侵犯的T4原發性腫瘤,D,根據NCCN指引，EBRT用於甲狀腺癌的明確指徵包括：無法切除、局部復發病灶、肉眼可見的大體甲狀腺外侵犯(T4)腫瘤、或是手術後微觀/宏觀殘留且131I攝取能力不佳者。,內分泌疾病的放射治療 湯人仰
67,"在鑑別輕度原發性副甲狀腺功能亢進(PHPT)與家族性低尿鈣高血鈣症(FHH)時,下列哪項檢查結果清單組合最倾向於支持FHH的診斷？","(A) 24小時尿鈣350mg,鈣清除率/肌酐清除率比值(ClCa/ClCr)為0.025","(B) 24小時尿鈣<100mg(如80mg),鈣清除率/肌酐清除率比值(ClCa/ClCr)<0.01(如0.008)","(C)血清 1,25(OH)2D3 濃度顯著異常升高",(D)骨密度DXA顯示所有部位T值皆顯著大於+1.0,B,家族性低尿鈣高血鈣症(FHH)的重要診斷特徵是24小時尿鈣排泄量低下(<100 mg/day)且鈣清除率/肌酐清除率比值(ClCa/ClCr)小於 0.01。,副甲狀腺高能症(高鈣血症) 盧子文
68,"一位病患因乳癌骨轉移導致嚴重高血鈣 (15.0 mg/dL),醫師決定使用靜脈注射雙磷酸鹽治療。關於此治療，下列敘述何者錯誤？","(A)雙磷酸鹽能迅速(在給藥後數小時內)且強效地抑制蝕骨細胞活性,使血鈣立即降至正常",(B)常用的靜脈注射雙磷酸鹽藥物包括Pamidronate 和Zoledronate,"(C)治療後血鈣通常在24至48小時內才開始逐步下降,並在一週內達到最低點","(D)需注意潛在的腎毒性,對於腎功能嚴重不全的患者應謹慎使用或避免使用",A,雙磷酸鹽(Bisphosphonates)雖然作用強效且持久，但是「起效緩慢」，通常需要 1~2 天(24-48小時)才會開始展現降鈣效果，並非在數小時內立刻神速起效。,副甲狀腺高能症(高鈣血症) 盧子文
69,"一名60歲女性原發性副甲狀腺功能亢進患者，血鈣10.8mg/dL。根據目前的指引,下列哪項臨床數據是支持她接受副甲狀腺切除手術的最強理由？",(A)病患年齡剛好為 60 歲,(B) 24小時尿鈣排出量僅為 220 mg/day,(C) DXA 骨密度檢查顯示其遠端 1/3 橈骨(distal 1/3 radius)之 T 值為 -2.6,(D) 病患主觀上強烈拒絕外科介入,C,NIH無症狀原發性副甲狀腺亢進的手術指引包括：年齡<50歲、血鈣高於正常上限0.25 mmol/L、肌酐清除率<60 ml/min、24小時尿鈣>400 mg/d或有結石、以及骨密度DXA任一部位(腰椎、髖骨、股骨頸或遠端1/3橈骨) T-score < -2.5。該個案橈骨T值為-2.6(<-2.5)，符合手術適應症。,功能性腎上腺腫瘤之外科治療／甲、副甲狀腺疾病之外科治療 李香瑩／吳哲維
70,"下列關於自體免疫多腺體症候群 Autoimmune Polyendocrine Syndrome (APS) type 1的敘述,何者為非？",(A)診斷的三個主特徵包含慢性皮膚黏膜念珠菌病、副甲狀腺功能低下、艾迪森氏症，須符合其中兩種,"(B)此疾病皆是常染色體隱性,絕無任何AIRE基因（如CARD區）變異引發顯性遺傳的特例報告","(C) AIRE 基因若發生缺失突變,會導致胸腺 mTECs 無法正常表現特異抗原進而使T細胞無法完成株落刪除","(D)若病人合併原發性甲狀腺低下,可能會因為降低肝臟代謝效率而顯著延長體內皮質醇(cortisol)的半衰期",B,APS-1通常為自體隱性(21號染色體AIRE突變)，但目前已有少數自體顯性(autosomal dominant)的特殊突變被發現報告在AIRE基因的CARD或PHD1區域。故(B)敘述太過絕對而錯誤。此外，低下造成的肝代謝變慢會拉長cortisol半衰期，因此治療必須先補類固醇再補甲狀腺素，否則會誘發Adrenal crisis。,多腺體自體免疫疾病 許乃薇
71,"下列關於自體免疫多腺體症候群 Autoimmune Polyendocrine Syndrome (APS) type 2的敘述,何者為非？",(A) APS type 2 通常好發在 20-60 歲的成年人群中,(B) 其艾迪森氏症(Addison's disease)的發病與家族內 HLA-DR3 及 HLA-DR4 具有強烈相關性,(C) 臨床統計上，APS type 2 最常見的兩種內分泌疾病配對必為艾迪森氏症與原發性性腺功能低下,(D) 抗 CD3 單株抗體 Teplizumab 可用於stage 2第一型糖尿病患者以延緩臨床發病,C,"APS-2最常見的內分泌主要疾病組合成分是原發性腎上腺功能不全(Addison's, 50-70%)、自體免疫甲狀腺疾病(Graves/橋本, 15-69%)以及第一型糖尿病(40-50%)，原發性性腺功能低下發病率相對並非前二大，故(C)不正確。(此題因學術定義爭議在考場判定送分，原選項為C)",多腺體自體免疫疾病 許乃薇
72,"下列關於其他的自體免疫多腺體疾病的敘述,何者為非？",(A) IPEX 症候群的致病機轉和 FOXP3 基因的突變直接相關,(B) 胰島素自體免疫綜合症候群(IAS)的誘發在臨床上與治療甲腺亢進的藥物 methimazole 有關,(C) 免疫檢查點抑制劑(ICI)引起的第一型糖尿病中，約有 70% 的個案帶有 HLA-DR4 基因突變,(D) Kearns-Sayre 症候群(Kearns-Sayre syndrome)是一種典型遵循孟德爾規律、家族代代垂直遺傳的粒線體DNA疾病,D,Kearns-Sayre症候群(Kearns-Sayre syndrome)在絕大多數臨床病例中屬於「偶發性(sporadic)」的粒線體DNA大片段缺失突變，而非高度家族遺傳性疾病。,多腺體自體免疫疾病 許乃薇
73,組織病理學上，下列哪一項特徵是確診甲狀腺乳突狀癌(Thyroid papillary carcinoma)最關鍵且不可或缺的核病理判定要件？,(A) 腫瘤細胞圍繞並覆蓋具有纖細纖維血管核心的乳突狀結構(Branching papillae),(B) 腫瘤內出現明顯的嗜酸性化生(Oxyphilic metaplasia/Hürthle cells),(C) 存在明確且廣泛的血管侵犯(Vascular invasion)或囊膜侵犯,(D) 腫瘤細胞核呈現染色質極度細微稀疏的磨砂玻璃狀外觀(Ground-glass/Orphan Annie nuclei)並伴隨核溝或假包涵體,D,甲狀腺乳突狀癌(PTC)的診斷是完全基於特殊的「細胞核特徵」(Nuclear appearance: Orphan Annie eye nuclei、核溝 nuclear grooves、偽包涵體 pseudo-inclusions)。即使缺乏明顯的乳突架構(papillary architecture)，只要具備這些特異細胞核特徵即可確診。,內分泌系統病理實驗 韋又菁
74,一名48歲女性，臨床主訴高燒、全身疲勞與明顯頸部劇烈脖子痛，鏡檢發現甲狀腺泡遭受破壞並形成由多核巨細胞(Multinucleated giant cell)圍繞微小膠質池(Pools of colloids)的肉芽腫病灶。最可能的診斷為？,(A) 結節性甲狀腺腫 Nodular goiter,(B) 肉芽腫性/亞急性甲狀腺炎 Granulomatous / Subacute (de Quervain) thyroiditis,(C) 甲狀腺髓樣癌 Medullary carcinoma,(D) 橋本氏甲狀腺炎 Hashimoto thyroiditis,B,發燒、脖子痛合併病理切片上經典的 Pools of colloids 與 Multinucleated giant cell (多核巨細胞肉芽腫發炎反應)，為亞急性/肉芽腫性甲狀腺炎的組織學標準特徵。,內分泌系統病理實驗 韋又菁
75,在病理形態學切片檢視下，區分與鑑別甲狀腺濾泡狀腺瘤(Follicular adenoma)與濾泡狀癌(Follicular carcinoma)最關鍵的唯一診斷依據是什麼？,(A) 是否存在明確的腫瘤囊膜侵犯(Capsular invasion)或血管侵犯(Vascular invasion),(B) 組織內濾泡排列結構(Follicular arrangement)的密集程度與大小變異,(C) 腫瘤細胞是否局部排列成真性乳突分支架構(Papillary arrangement),(D) 腫瘤濾泡上皮細胞核的異型性與多形性非典型特徵,A,濾泡狀腺瘤與濾泡狀癌在細胞外觀與濾泡排列上可能極度相似。兩者在病理診斷上的分水嶺純粹取決於有無「包膜侵犯(Capsular invasion)」或「血管侵犯(Vascular invasion)」。,內分泌系統病理實驗 韋又菁
76,關於腎上腺組織解剖結構分層與其相對應分泌的主要生理賀爾蒙，下列描述何者正確？,(A) 腎上腺皮質球狀帶(Zona glomerulosa) 主要分泌兒茶酚胺(Catecholamines),(B) 腎上腺皮質束狀帶(Zona fasciculata) 主要分泌糖皮質激素(Glucocorticoids/Cortisol),(C) 腎上腺皮質網狀帶(Zona reticularis) 主要分泌鹽皮質激素(Mineralocorticoids),(D) 腎上腺髓質(Medulla) 主要負責分泌性類固醇激素(Sex steroids),B,口訣：GFR對應鹽糖性。球狀帶(G)分泌鹽皮質激素(Aldosterone)；束狀帶(F)分泌糖皮質激素(Cortisol)；網狀帶(R)分泌性激素(Androgens)。髓質則負責分泌兒茶酚胺。,功能性腎上腺腫瘤之外科治療 李香瑩
77,依據現行國際篩檢臨床指引，下列哪種高血壓臨床表現的患者，「最不需要」常規接受原發性醛固酮增多症(Primary Aldosteronism)的專門篩檢？,(A) 經聯合常規使用三種以上口服藥物仍難以控制的頑固型/抗藥性高血壓患者,(B) 影像學偶然發現合併有高血壓表現的腎上腺偶發瘤(Adrenal incidentaloma)患者,(C) 發病極早的早發性高血壓(<20歲)或伴隨有年輕中風家族史(<50歲)的患者,(D) 一名70歲常規高血壓病患，多次實驗室抽血生化顯示血清鉀離子濃度恆定為 5.0 mEq/L,D,原發性醛固酮增多症(PA)的典型生化特徵為低血鉀。選項(D)病患的血清鉀離子濃度5.0 mEq/L屬於完全正常甚至偏高，在缺乏其他強烈適應症(如抗藥性高血壓)下，最不需要常規篩檢PA。,功能性腎上腺腫瘤之外科治療 李香瑩
78,關於功能性腎上腺腫瘤之外科手術切除路徑與方式描述，下列何者「有誤」？,(A) 大型多中心醫學實證已證實，腹腔鏡後腹腔切除路徑的手術長期生存率與成功率顯著優於經腹腔切除路徑,(B) 單孔腹腔鏡腎上腺手術在術後傷口美觀滿意度上相較傳統多孔具有優勢,(C) 臨床若遭遇體積過大、高度懷疑惡性皮質癌或與周邊重要大血管相黏嚴重的困難腫瘤，應採取傳統開放式開腹手術,(D) 具體手術術式的選定需綜合考量患者腫瘤尺寸、體型肥胖度、既往腹部手術史、經濟負擔與術者經驗進行個體化裁量,A,考科藍實證醫學審查(Cochrane Review)指出，經後腹腔(Retroperitoneal)與經腹腔(Transperitoneal)兩種腹腔鏡腎上腺切除術相比，不論在手術死亡率、短期併發症、手術時間或失血量上「皆無統計學顯著差別」，後腹腔僅在術後恢復進食時間上稍微縮短。故A說後者顯著優於前者是錯誤的。,功能性腎上腺腫瘤之外科治療 李香瑩
79,關於甲狀腺腫瘤與外科手術處置之描述，以下敘述何者正確？,(A) 甲狀腺細針抽吸細胞學報告若落在2023 TBSRTC分類第三級之AUS/FLUS者，因惡性風險達13-30%，臨床應一律直接安排診斷性單側切除術(Diagnostic lobectomy),(B) 達文西機械手臂輔助甲狀腺切除術，在大型臨床數據中已被證實相較於傳統開放式開放手術能大幅縮短手術操作時間,"(C) 術中例行性且仔細地解剖並辨識出喉返神經(Recurrent laryngeal nerve, RLN)的位置，是公認降低術後聲帶麻痺併發症的強烈建議手段",(D) 甲狀腺術後若病患僅出現無法發出高音、音頻耐受度差的障礙，最有可能是手術結紮上極時造成上喉神經(Superior laryngeal nerve)的「內支(Internal branch)」損傷,C,A項AUS/FLUS首選多為重複抽吸或分子檢測，非一律開刀。B項達文西機械手臂手術通常因架設與路徑關係，操作時間「比傳統手術更長」。D項控制高音的環甲肌(CTM)是由上喉神經的「外支(EBSLN)」支配，內支主要負責聲門上方感覺，因此高音障礙是EBSLN外支損傷而非內支。C項術中辨識RLN為最高等級臨床指引強烈推薦。,甲狀腺及副甲狀腺疾病之外科治療 吳哲維
80,關於甲狀腺手術前，醫療團隊與病患進行術前知情同意(Informed consent)書內容說明時，以下敘述何者「為非」？,(A) 術後可能因為神經微觀損傷或水腫沾黏，出現暫時或永久性的音聲功能障礙(Dysphonia),(B) 執行全甲狀腺切除術後，病患將面臨永久性甲狀腺功能低下(Hypothyroidism)，必須終身每日服用左旋甲狀腺素,(C) 術後若發生嚴重的全副甲狀腺功能低下，會導致體內發生急性低血磷(Hypophosphatemia)危象，病患將出現嚴重手足抽搐與肌肉麻痛,(D) 手術後24小時內(尤其是前6小時)需嚴密監控可能發生的頸部血腫(Hematoma)，若壓迫呼吸道造成窒息需立刻在床旁排空並緊急重返手術室探查,C,副甲狀腺功能低下(Hypoparathyroidism)會導致體內發生嚴重的「低血鈣(Hypocalcemia)」，進而引發手足搐搦(Tetany)、Chvostek's與Trousseau's sign，而非引起低血磷（副甲狀腺素下降在腎臟減少排磷，血磷反而傾向升高）。故C錯誤。,甲狀腺及副甲狀腺疾病之外科治療 吳哲維
81,"關於副甲狀腺機能亢進(Hyperpreathyroidism, HPT)與外科手術處置，以下敘述何者為非？",(A) 原發性副甲狀腺機能亢進(Primary HPT)臨床上最常見的底層病因是惡性副甲狀腺癌(Carcinoma)，最常採取微創副甲狀腺切除術(MIP)進行根除,(B) 指引建議，針對臨床無症狀的原發性副甲狀腺機能亢進患者，若其年齡小於 50 歲，即使指標輕微也應採取更積極的手術切除考量,(C) 次發性副甲狀腺機能亢進(Secondary HPT)在臨床洗腎病患中極為常見，主要刺激源為慢性腎衰竭所致的低血鈣、高血磷以及活性維生素D缺乏,(D) 尿毒症患者在接受副甲狀腺全切除手術時，通常會例行將部分非腺瘤組織切碎，自體移植(Autotransplantation)於非優勢側前臂的肱橈肌(Brachioradialis muscle)內以利後續復發局部監控,A,原發性副甲狀腺機能亢進(PHPT)最常見的成因是良性的「單一腺瘤(Single Parathyroid Adenoma)」，佔了所有病例的 80-85%；惡性的副甲狀腺癌(Carcinoma)極其罕見，盛行率小於 1%。故A不正確。,甲狀腺及副甲狀腺疾病之外科治療 吳哲維
82,下列關於多發性內分泌腫瘤第一型 (MEN type 1) 的臨床與基因敘述，何者「正確」？,(A) 該症候群在臨床上最常見且最早出現的腫瘤表徵為甲狀腺髓樣癌(MTC),(B) 該致病機轉主要是由於原癌基因 RET 發生了生殖細胞系外顯位點突變所致,(C) 該基因的外顯率(Penetrance)具有高度年齡依賴性，在病患 50 歲前外顯率高達約 98%,(D) 該症候群合併的腸胰內分泌腫瘤(Enteropancreatic tumor)中，臨床最常見的類型為胰島素瘤(Insulinoma),C,MEN 1 (Wermer syndrome)是由位於11q13的MEN1抑癌基因突變引起，50歲前外顯率達98%（C正確）。最常見、最早出現的是副甲狀腺腺瘤(90%)；髓樣癌(MTC)與RET突變是屬於MEN 2A/2B的特徵。MEN 1的腸胰內分泌瘤中，以胃泌素瘤(Gastrinoma >50%)最常見，而非Insulinoma(10-30%)。,"內分泌高血壓,多發性內分泌腫瘤／皮質醛酮高能症及低能症 歐昱侖"
83,根據國際多發性內分泌腫瘤臨床處置指南，對於臨床上完全無症狀、但在基因篩檢中被證實帶有高危險度 RET 918 點突變（典型對應 MEN 2B）的兒童，建議何時接受預防性甲狀腺全切除術(Prophylactic thyroidectomy)？,(B) 為了防止惡性度極高的髓樣癌早期轉移，強烈建議在嬰兒 1 歲之前執行出手術,,(C) 進入青少年發育期(13-18歲)且超音波發現微小異常時再行切除,(D) 臨床觸診或頸部影像學明確查見實體腫塊時方採取外科介入,B,RET 918位點突變在MEN2變異中屬於最高危險度等級，其引發的甲狀腺髓樣癌(MTC)惡性度極高且會在嬰幼兒期極早期發生遠端轉移，因此指引強烈建議應在「1歲之前」執行預防性全甲狀腺切除術。,"內分泌高血壓,多發性內分泌腫瘤／皮質醛酮高能症及低能症 歐昱侖"
84,下列關於嗜鉻細胞瘤(Pheochromocytoma)的臨床特徵與圍手術期藥物準備敘述，何者正確？,(A) 經典的「十之法則(Rule of Tens)」包含：10%為單側發生、10%位於腎上腺內、10%發生遠端轉移,(B) 特異性功能診斷核醫影像定位可以考慮首選 I-101 MIBG 掃描檢查,(C) 該腫瘤惡性度極高，絕大多數個案即使經過完全的外科手術切除也完全無法達到臨床治癒,(D) 術前的血壓與藥物準備具有絕對嚴格的順序：必須「先使用 Alpha 受體阻斷劑」進行血管擴張，隨後才能加用 Beta 受體阻斷劑,D,Rule of Tens定義為：10%雙側(Bilateral)、10%腎上腺外(Extra-adrenal)、10%惡性轉移。核醫影像使用的是 I-123 MIBG scan。手術切除有將近90%的患者可達到完全治癒。圍手術期藥物準備順序極為關鍵：必須先給予 Alpha blocker 阻斷血管收縮，若先給 Beta blocker 會因為血管上缺乏拮抗而導致兒茶酚胺引發致命的高血壓危象。,"內分泌高血壓,多發性內分泌腫瘤／皮質醛酮高能症及低能症 歐昱侖"
85,"關於先天性腎上腺增生症(Congenital Adrenal Hyperplasia, CAH)的不同酶缺陷型臨床表現對比，下列敘述何者「錯誤」？",(A) 21-hydroxylase 缺陷型與 11ß-hydroxylase 缺陷型的患兒，皆會因為皮質醇合成受阻出現腎上腺功能不全(Adrenal insufficiency),(B) 17a-hydroxylase 缺陷型由於不影響鹽皮質激素前驅物，臨床上「不常」以急性的腎上腺危象休克(Adrenal crisis)作為首發表現,(C) 21-hydroxylase 缺陷型會導致類固醇合成路徑往右側偏走，進而引發嚴重的雄性素過量(Androgen excess)與女性胎兒男性化,(D) 11ß-hydroxylase 缺陷型由於醛固酮(Aldosterone)水平下降，在臨床上會典型伴隨嚴重的低血鈉與高血鉀(Hyperkalemia)表現,D,11ß-hydroxylase缺陷雖然會導致終端 Aldosterone 產量低下，但其會在上游引發強效鹽皮質激素前驅物「11-去氧皮質酮(DOC)」的龐大蓄積。DOC具有強烈的留鈉排鉀效果，因此在臨床上與21-hydroxylase型相反，11ß缺陷型會呈現「低血鉀、高血壓(Hypokalemic hypertension)」而非高血鉀，這也是鑑別此兩大主型的重要臨床關鍵。故D錯誤。,"內分泌高血壓,多發性內分泌腫瘤／皮質醛酮高能症及低能症 歐昱侖"
86,"關於原發性醛固酮增多症(Primary Aldosteronism, PA)，下列哪一項為其在臨床生化檢查上的典型三大特徵配對？",(A) 高血鈣、高血磷、代償性呼吸性酸中毒,(B) 高血壓、低血鉀(Hypokalemia)與代謝性鹼中毒,(C) 體位性低血壓、高血鉀與嚴重代謝性酸中毒,(D) 嚴重全身水腫、低血鈉與容量耗竭性酸中毒,B,原發性醛固酮增多症的核心病理為醛固酮過度分泌，在遠端腎小管加強「留鈉、排鉀、排氫」的作用。因此其臨床三大標誌性特徵為：高血壓(鈉水滯留)、低血鉀(鉀離子排出過多引發乏力)以及代謝性鹼中毒(氫離子流失過多)。,"內分泌高血壓,多發性內分泌腫瘤／皮質醛酮高能症及低能症 歐昱侖"
87,一名46歲男性長期高血壓合併肌肉無力。實驗室檢查：ARR=55，生理食鹽水輸注試驗(Saline infusion test)後血清醛固酮仍高達 28 ng/dL。腹部CT呈現右側腎上腺有一顆1.5cm腺瘤。根據診療規範，病患下一步「最應先採取」的處置是？,(A) 安排 1123 MIBG scan 來確定右側腎上腺腺瘤是否具有內分泌功能,(B) 既然CT已明確查見右側 1.5 cm 腫瘤，應立刻直接安排外科開刀將右側腎上腺切除,"(C) 進行侵入性的雙側腎上腺靜脈採樣(Adrenal venous sampling, AVS)以確立功能是否確實具側邊化偏向",(D) 無需任何進一步定位與處置，直接給予最高劑量升壓劑聯合治療,C,ARR>=20且確診試驗(Saline infusion test)陽性，已完全確診為原發性醛固酮增多症(PA)。雖然CT查見右側1.5cm腺瘤，但指引強調CT/MRI對於區分究竟是單側腺瘤(APA)或雙側特發性增生(IHA)的準確度極差（常有偶然瘤誤導）。在考慮單側切除術前，必須進行雙側腎上腺靜脈採樣(AVS)進行功能側邊化(Lateralization)鑑定，以避免切錯健康的單側。故下一步首選為C。,"內分泌高血壓,多發性內分泌腫瘤／皮質醛酮高能症及低能症 歐昱侖"
